DATETIME,ADDRESS,BALANCE,DECIMALS,NAME
2022-04-06 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2892260.10089785,18,Staked Aave
2022-04-05 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2889945.81759728,18,Staked Aave
2022-04-04 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2888368.77647774,18,Staked Aave
2022-04-03 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2888057.64395291,18,Staked Aave
2022-04-02 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2908001.85807405,18,Staked Aave
2022-04-01 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2906725.95972397,18,Staked Aave
2022-03-31 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2887585.98831232,18,Staked Aave
2022-03-30 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2885424.32979055,18,Staked Aave
2022-03-29 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2891032.33729967,18,Staked Aave
2022-03-28 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2830233.10460721,18,Staked Aave
2022-03-27 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2824673.90769926,18,Staked Aave
2022-03-26 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2822833.4096945,18,Staked Aave
2022-03-25 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2818961.78579024,18,Staked Aave
2022-03-24 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2816800.11122296,18,Staked Aave
2022-03-23 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2814725.58143791,18,Staked Aave
2022-03-22 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2810883.1893252,18,Staked Aave
2022-03-21 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2804769.4484869,18,Staked Aave
2022-03-20 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2792345.37910877,18,Staked Aave
2022-03-19 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2779179.9726522,18,Staked Aave
2022-03-18 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2784141.30747906,18,Staked Aave
2022-03-17 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2771198.18589724,18,Staked Aave
2022-03-16 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2765685.03611493,18,Staked Aave
2022-03-15 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2761976.82207563,18,Staked Aave
2022-03-14 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2757116.28537489,18,Staked Aave
2022-03-13 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2757471.99646169,18,Staked Aave
2022-03-12 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2757519.06355704,18,Staked Aave
2022-03-11 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2756239.78184677,18,Staked Aave
2022-03-10 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,5314563.79932777,18,Staked Aave
2022-03-09 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2754458.70178535,18,Staked Aave
2022-03-08 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2753230.06472097,18,Staked Aave
2022-03-07 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2756551.50640617,18,Staked Aave
2022-03-06 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2761587.73087258,18,Staked Aave
2022-03-05 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2656110.66477156,18,Staked Aave
2022-03-04 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2723782.94148402,18,Staked Aave
2022-03-03 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2726968.08166599,18,Staked Aave
2022-03-02 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2698353.53963396,18,Staked Aave
2022-03-01 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2661267.39100532,18,Staked Aave
2022-02-28 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2706142.10428569,18,Staked Aave
2022-02-27 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2873630.80356488,18,Staked Aave
2022-02-26 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2871568.82632989,18,Staked Aave
2022-02-25 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2871124.39505041,18,Staked Aave
2022-02-24 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2872066.74436903,18,Staked Aave
2022-02-23 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2874154.3016843,18,Staked Aave
2022-02-22 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2768571.72784581,18,Staked Aave
2022-02-21 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2867365.67718709,18,Staked Aave
2022-02-20 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2865877.45085972,18,Staked Aave
2022-02-19 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2833618.0880071,18,Staked Aave
2022-02-18 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2824465.27500899,18,Staked Aave
2022-02-17 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2705052.42961127,18,Staked Aave
